state,move
_________________OX_____OX_____XO_____XOX_,2
_________________OX_____OX_____XO____OXOX_,4
___________X_____OX_____OX_____XO____OXOX_,4
____O______X_____OX_____OX_____XO____OXOX_,3
____O_____XX_____OX_____OX_____XO____OXOX_,0
____O_____XX_____OX_____OX_____XO__O_OXOX_,0
____O_____XX_____OX_____OX__X__XO__O_OXOX_,5
____O_____XX_____OX_____OX__X__XOO_O_OXOX_,5
____O_____XX_____OX_____OXX_X__XOO_O_OXOX_,0
____O_____XX_____OX__O__OXX_X__XOO_O_OXOX_,0
____O_____XX__X__OX__O__OXX_X__XOO_O_OXOX_,1
____O_____XX__X__OX__O__OXX_X__XOO_OOOXOX_,2
____O_____XX__X__OX__O__OXX_X_XXOO_OOOXOX_,1
____O_____XX__X__OX__O__OXX_XOXXOO_OOOXOX_,1
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,2
______________________________X______OX___,3
______________________________XO_____OX___,2
_______________________X______XO_____OX___,2
________________O______X______XO_____OX___,3
________________O______XX_____XO_____OX___,3
________________OO_____XX_____XO_____OX___,6
________________OO_____XX_____XO_____OX__X,4
________________OO_____XX_____XO_____OXO_X,1
________________OO_____XX_____XO____XOXO_X,3
__________O_____OO_____XX_____XO____XOXO_X,4
__________O_____OO_____XX_____XOX___XOXO_X,6
__________O_____OO_____XX_____XOX_O_XOXO_X,6
__________O_____OO_____XX__X__XOX_O_XOXO_X,6
__________O_____OO__O__XX__X__XOX_O_XOXO_X,3
___X______O_____OO__O__XX__X__XOX_O_XOXO_X,2
___X_____OO_____OO__O__XX__X__XOX_O_XOXO_X,4
___X_____OO_____OO__O__XXX_X__XOX_O_XOXO_X,4
___X_____OO_____OOO_O__XXX_X__XOX_O_XOXO_X,2
__XX_____OO_____OOO_O__XXX_X__XOX_O_XOXO_X,0
__XX_____OO_____OOO_O__XXX_X__XOX_OOXOXO_X,0
__XX_____OO_____OOO_O__XXX_XX_XOX_OOXOXO_X,0
__XX_____OO_____OOO_OO_XXX_XX_XOX_OOXOXO_X,5
__XX_____OO_____OOO_OO_XXX_XX_XOX_OOXOXOXX,0
__XX_____OO___O_OOO_OO_XXX_XX_XOX_OOXOXOXX,4
__XX_____OOX__O_OOO_OO_XXX_XX_XOX_OOXOXOXX,4
__XXO____OOX__O_OOO_OO_XXX_XX_XOX_OOXOXOXX,6
__XXO____OOX_XO_OOO_OO_XXX_XX_XOX_OOXOXOXX,0
__XXO__O_OOX_XO_OOO_OO_XXX_XX_XOX_OOXOXOXX,0
X_XXO__O_OOX_XO_OOO_OO_XXX_XX_XOX_OOXOXOXX,6
X_XXO_OO_OOX_XO_OOO_OO_XXX_XX_XOX_OOXOXOXX,5
X_XXO_OO_OOX_XO_OOO_OO_XXX_XX_XOXXOOXOXOXX,5
__________________________________________,3
______________________________________X___,4
______________________________________XO__,4
________________________________X_____XO__,4
_________________________O______X_____XO__,0
_________________________O______X__X__XO__,1
_________________________O______X__XO_XO__,1
_________________________O___X__X__XO_XO__,3
_________________________O___X_OX__XO_XO__,3
________________________XO___X_OX__XO_XO__,3
_________________O______XO___X_OX__XO_XO__,6
_________________O______XO___X_OX__XO_XO_X,1
_________________O____O_XO___X_OX__XO_XO_X,1
_______________X_O____O_XO___X_OX__XO_XO_X,5
_______________X_O____O_XO___X_OX__XO_XOOX,4
_______________X_OX___O_XO___X_OX__XO_XOOX,1
________O______X_OX___O_XO___X_OX__XO_XOOX,3
________O_X____X_OX___O_XO___X_OX__XO_XOOX,6
________O_X____X_OX___O_XO___X_OX_OXO_XOOX,6
________O_X____X_OX___O_XO_X_X_OX_OXO_XOOX,6
________O_X____X_OX_O_O_XO_X_X_OX_OXO_XOOX,1
_X______O_X____X_OX_O_O_XO_X_X_OX_OXO_XOOX,2
_X______O_X____X_OX_O_O_XO_X_X_OX_OXOOXOOX,3
_X_X____O_X____X_OX_O_O_XO_X_X_OX_OXOOXOOX,5
_X_X____O_X____X_OX_O_O_XO_X_X_OXOOXOOXOOX,0
_X_X____O_X____X_OX_O_O_XO_XXX_OXOOXOOXOOX,0
_X_X____O_X____X_OX_OOO_XO_XXX_OXOOXOOXOOX,4
_X_X____O_XX___X_OX_OOO_XO_XXX_OXOOXOOXOOX,0
_X_X____O_XX__OX_OX_OOO_XO_XXX_OXOOXOOXOOX,0
_X_X___XO_XX__OX_OX_OOO_XO_XXX_OXOOXOOXOOX,4
_X_XO__XO_XX__OX_OX_OOO_XO_XXX_OXOOXOOXOOX,2
_X_XO__XO_XX__OX_OX_OOO_XO_XXXXOXOOXOOXOOX,2
_X_XO__XO_XX__OX_OX_OOOOXO_XXXXOXOOXOOXOOX,6
_X_XO__XO_XX_XOX_OX_OOOOXO_XXXXOXOOXOOXOOX,6
_X_XO_OXO_XX_XOX_OX_OOOOXO_XXXXOXOOXOOXOOX,0
XX_XO_OXO_XX_XOX_OX_OOOOXO_XXXXOXOOXOOXOOX,2
XX_XO_OXO_XX_XOXOOX_OOOOXO_XXXXOXOOXOOXOOX,2
XX_XO_OXOXXX_XOXOOX_OOOOXO_XXXXOXOOXOOXOOX,2
XXOXO_OXOXXX_XOXOOX_OOOOXO_XXXXOXOOXOOXOOX,5
XXOXO_OXOXXX_XOXOOX_OOOOXOXXXXXOXOOXOOXOOX,5
__________________________________________,3
______________________________________X___,4
______________________________________XO__,3
_______________________________X______XO__,3
________________________O______X______XO__,0
________________________O______X___X__XO__,2
________________________O______X___X_OXO__,3
_________________X______O______X___X_OXO__,0
_________________X______O___O__X___X_OXO__,2
_________________X______O___O_XX___X_OXO__,4
_________________X______O___O_XXO__X_OXO__,4
_________________X______OX__O_XXO__X_OXO__,5
_________________X______OX__O_XXO__X_OXOO_,5
_________________X______OX__O_XXOX_X_OXOO_,6
_________________X______OX__O_XXOX_X_OXOOO,5
_________________X______OXX_O_XXOX_X_OXOOO,5
_________________X_O____OXX_O_XXOX_X_OXOOO,0
_________________X_O_X__OXX_O_XXOX_X_OXOOO,6
_________________X_O_X__OXX_O_XXOXOX_OXOOO,6
_________________X_O_X__OXXXO_XXOXOX_OXOOO,0
______________O__X_O_X__OXXXO_XXOXOX_OXOOO,5
____________X_O__X_O_X__OXXXO_XXOXOX_OXOOO,5
_____O______X_O__X_O_X__OXXXO_XXOXOX_OXOOO,0
_____O_X____X_O__X_O_X__OXXXO_XXOXOX_OXOOO,4
_____O_X____X_O__XOO_X__OXXXO_XXOXOX_OXOOO,3
_____O_X__X_X_O__XOO_X__OXXXO_XXOXOX_OXOOO,4
_____O_X__XOX_O__XOO_X__OXXXO_XXOXOX_OXOOO,3
___X_O_X__XOX_O__XOO_X__OXXXO_XXOXOX_OXOOO,4
___XOO_X__XOX_O__XOO_X__OXXXO_XXOXOX_OXOOO,1
___XOO_X__XOX_O__XOO_X__OXXXO_XXOXOXXOXOOO,6
___XOO_X__XOX_O__XOOOX__OXXXO_XXOXOXXOXOOO,1
___XOO_X__XOX_O__XOOOX__OXXXOXXXOXOXXOXOOO,2
___XOO_X__XOX_O__XOOOX_OOXXXOXXXOXOXXOXOOO,2
___XOO_X__XOX_O_XXOOOX_OOXXXOXXXOXOXXOXOOO,2
___XOO_X_OXOX_O_XXOOOX_OOXXXOXXXOXOXXOXOOO,1
___XOO_X_OXOX_O_XXOOOXXOOXXXOXXXOXOXXOXOOO,1
___XOO_X_OXOX_OOXXOOOXXOOXXXOXXXOXOXXOXOOO,0
X__XOO_X_OXOX_OOXXOOOXXOOXXXOXXXOXOXXOXOOO,2
X_OXOO_X_OXOX_OOXXOOOXXOOXXXOXXXOXOXXOXOOO,6
X_OXOO_X_OXOXXOOXXOOOXXOOXXXOXXXOXOXXOXOOO,1
X_OXOO_XOOXOXXOOXXOOOXXOOXXXOXXXOXOXXOXOOO,1
XXOXOO_XOOXOXXOOXXOOOXXOOXXXOXXXOXOXXOXOOO,6
__________________________________________,3
______________________________________X___,4
______________________________________XO__,3
_______________________________X______XO__,3
________________________O______X______XO__,4
________________________O______XX_____XO__,4
________________________OO_____XX_____XO__,4
__________________X_____OO_____XX_____XO__,3
_________________OX_____OO_____XX_____XO__,6
_________________OX_____OO_____XX_____XO_X,3
__________O______OX_____OO_____XX_____XO_X,3
___X______O______OX_____OO_____XX_____XO_X,6
___X______O______OX_____OO_____XX_O___XO_X,6
___X______O______OX_____OO_X___XX_O___XO_X,4
___X______OO_____OX_____OO_X___XX_O___XO_X,6
___X______OO_____OX_X___OO_X___XX_O___XO_X,6
___X______OO_O___OX_X___OO_X___XX_O___XO_X,0
___X______OO_O___OX_X___OO_X___XX_OX__XO_X,2
___X______OO_O___OX_X___OO_X___XX_OX_OXO_X,2
___X______OO_O___OX_X___OO_X__XXX_OX_OXO_X,2
___X______OO_O___OX_X__OOO_X__XXX_OX_OXO_X,5
___X______OO_O___OX_X__OOO_X__XXX_OX_OXOXX,0
___X______OO_O___OX_X__OOO_XO_XXX_OX_OXOXX,5
__________________________________________,3
______________________________________X___,1
____________________________________O_X___,3
_______________________________X____O_X___,1
_____________________________O_X____O_X___,3
________________________X____O_X____O_X___,3
_________________O______X____O_X____O_X___,5
_________________O______X____O_X____O_X_X_,4
_________________O______X____O_X____O_XOX_,1
_________________O____X_X____O_X____O_XOX_,5
_________________O____X_X____O_X_O__O_XOX_,0
_________________O____X_X____O_X_O_XO_XOX_,5
_________________O____X_X_O__O_X_O_XO_XOX_,5
_________________O_X__X_X_O__O_X_O_XO_XOX_,6
_________________O_X__X_X_O__O_X_O_XO_XOXO,6
_________________O_X__X_X_O__O_X_OXXO_XOXO,6
_________________O_X__X_X_OO_O_X_OXXO_XOXO,1
_______________X_O_X__X_X_OO_O_X_OXXO_XOXO,1
________O______X_O_X__X_X_OO_O_X_OXXO_XOXO,3
________O_X____X_O_X__X_X_OO_O_X_OXXO_XOXO,6
________O_X____X_O_XO_X_X_OO_O_X_OXXO_XOXO,6
________O_X__X_X_O_XO_X_X_OO_O_X_OXXO_XOXO,2
________O_X__X_X_O_XO_X_X_OO_O_X_OXXOOXOXO,2
________O_X__X_X_O_XO_X_X_OO_OXX_OXXOOXOXO,6
______O_O_X__X_X_O_XO_X_X_OO_OXX_OXXOOXOXO,0
______O_O_X__X_X_O_XO_X_X_OOXOXX_OXXOOXOXO,5
______O_O_X_OX_X_O_XO_X_X_OOXOXX_OXXOOXOXO,0
__________________________________________,3
______________________________________X___,4
______________________________________XO__,2
_____________________________________XXO__,1
____________________________________OXXO__,2
______________________________X_____OXXO__,4
______________________________X_O___OXXO__,4
_________________________X____X_O___OXXO__,2
_______________________O_X____X_O___OXXO__,3
_______________________O_X____XXO___OXXO__,1
_______________________O_X___OXXO___OXXO__,1
______________________XO_X___OXXO___OXXO__,2
________________O_____XO_X___OXXO___OXXO__,5
________________O_____XO_X___OXXO___OXXOX_,1
_______________OO_____XO_X___OXXO___OXXOX_,1
________X______OO_____XO_X___OXXO___OXXOX_,2
________XO_____OO_____XO_X___OXXO___OXXOX_,2
__X_____XO_____OO_____XO_X___OXXO___OXXOX_,4
__X_____XO_____OO_O___XO_X___OXXO___OXXOX_,5
__X_____XO_____OO_O___XO_X___OXXOX__OXXOX_,6
__X_____XO_____OO_O___XO_X___OXXOX__OXXOXO,6
__X_____XO_____OO_O___XO_X___OXXOXX_OXXOXO,1
_OX_____XO_____OO_O___XO_X___OXXOXX_OXXOXO,6
_OX_____XO_____OO_O___XO_X_X_OXXOXX_OXXOXO,3
_OX_____XO_____OO_O___XOOX_X_OXXOXX_OXXOXO,3
_OX_____XO_____OOXO___XOOX_X_OXXOXX_OXXOXO,6
_OX_____XO_____OOXO_O_XOOX_X_OXXOXX_OXXOXO,4
_OX_____XO_X___OOXO_O_XOOX_X_OXXOXX_OXXOXO,0
_OX_____XO_X___OOXO_O_XOOX_X_OXXOXXOOXXOXO,4
_OX_X___XO_X___OOXO_O_XOOX_X_OXXOXXOOXXOXO,0
_OX_X___XO_X___OOXO_O_XOOX_XOOXXOXXOOXXOXO,3
_OX_X___XOXX___OOXO_O_XOOX_XOOXXOXXOOXXOXO,6
_OX_X___XOXX_O_OOXO_O_XOOX_XOOXXOXXOOXXOXO,0
_OX_X___XOXX_O_OOXO_OXXOOX_XOOXXOXXOOXXOXO,0
_OX_X___XOXX_OOOOXO_OXXOOX_XOOXXOXXOOXXOXO,0
_OX_X__XXOXX_OOOOXO_OXXOOX_XOOXXOXXOOXXOXO,6
_OX_X_OXXOXX_OOOOXO_OXXOOX_XOOXXOXXOOXXOXO,3
_OXXX_OXXOXX_OOOOXO_OXXOOX_XOOXXOXXOOXXOXO,0
OOXXX_OXXOXX_OOOOXO_OXXOOX_XOOXXOXXOOXXOXO,5
OOXXX_OXXOXX_OOOOXO_OXXOOXXXOOXXOXXOOXXOXO,5
OOXXX_OXXOXX_OOOOXOOOXXOOXXXOOXXOXXOOXXOXO,5
OOXXX_OXXOXXXOOOOXOOOXXOOXXXOOXXOXXOOXXOXO,5
__________________________________________,3
______________________________________X___,1
____________________________________O_X___,5
____________________________________O_X_X_,4
____________________________________O_XOX_,3
_______________________________X____O_XOX_,3
________________________O______X____O_XOX_,5
________________________O______X_X__O_XOX_,4
________________________O______XOX__O_XOX_,4
________________________OX_____XOX__O_XOX_,3
_________________O______OX_____XOX__O_XOX_,4
_________________OX_____OX_____XOX__O_XOX_,4
___________O_____OX_____OX_____XOX__O_XOX_,3
__________XO_____OX_____OX_____XOX__O_XOX_,5
__________XO_____OX_____OXO____XOX__O_XOX_,5
__________XO_____OXX____OXO____XOX__O_XOX_,2
__________XO_____OXX____OXO____XOX__OOXOX_,1
__________XO_____OXX____OXO__X_XOX__OOXOX_,1
__________XO_____OXX__O_OXO__X_XOX__OOXOX_,1
__________XO___X_OXX__O_OXO__X_XOX__OOXOX_,2
__________XO___X_OXX__O_OXO__XOXOX__OOXOX_,2
__________XO___X_OXX__OXOXO__XOXOX__OOXOX_,2
__________XO___XOOXX__OXOXO__XOXOX__OOXOX_,1
________X_XO___XOOXX__OXOXO__XOXOX__OOXOX_,6
________X_XO___XOOXX__OXOXO__XOXOX__OOXOXO,6
________X_XO___XOOXX__OXOXO__XOXOXX_OOXOXO,1
_O______X_XO___XOOXX__OXOXO__XOXOXX_OOXOXO,3
_O_X____X_XO___XOOXX__OXOXO__XOXOXX_OOXOXO,4
_O_XO___X_XO___XOOXX__OXOXO__XOXOXX_OOXOXO,6
_O_XO___X_XO___XOOXX__OXOXOX_XOXOXX_OOXOXO,5
_O_XO___X_XOO__XOOXX__OXOXOX_XOXOXX_OOXOXO,5
_O_XOX__X_XOO__XOOXX__OXOXOX_XOXOXX_OOXOXO,2
_O_XOX__XOXOO__XOOXX__OXOXOX_XOXOXX_OOXOXO,2
_OXXOX__XOXOO__XOOXX__OXOXOX_XOXOXX_OOXOXO,6
_OXXOX__XOXOO__XOOXXO_OXOXOX_XOXOXX_OOXOXO,6
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,3
_______________________________X_____OX___,3
________________________O______X_____OX___,2
________________________O_____XX_____OX___,2
_______________________OO_____XX_____OX___,2
________________X______OO_____XX_____OX___,3
________________XO_____OO_____XX_____OX___,0
________________XO_____OO_____XX___X_OX___,3
__________O_____XO_____OO_____XX___X_OX___,3
___X______O_____XO_____OO_____XX___X_OX___,0
___X______O_____XO_____OO___O_XX___X_OX___,0
___X______O_____XO___X_OO___O_XX___X_OX___,0
___X______O___O_XO___X_OO___O_XX___X_OX___,6
___X______O___O_XO___X_OO___O_XX___X_OX__X,4
___X______O___O_XO___X_OO___O_XX___X_OXO_X,4
___X______O___O_XO___X_OO___O_XXX__X_OXO_X,4
___X______O___O_XO___X_OOO__O_XXX__X_OXO_X,2
___X_____XO___O_XO___X_OOO__O_XXX__X_OXO_X,4
___X_____XO___O_XOO__X_OOO__O_XXX__X_OXO_X,4
___X_____XOX__O_XOO__X_OOO__O_XXX__X_OXO_X,0
___X___O_XOX__O_XOO__X_OOO__O_XXX__X_OXO_X,2
__XX___O_XOX__O_XOO__X_OOO__O_XXX__X_OXO_X,0
O_XX___O_XOX__O_XOO__X_OOO__O_XXX__X_OXO_X,4
O_XXX__O_XOX__O_XOO__X_OOO__O_XXX__X_OXO_X,6
O_XXX__O_XOX__O_XOO__X_OOO__O_XXX_OX_OXO_X,6
O_XXX__O_XOX__O_XOO__X_OOO_XO_XXX_OX_OXO_X,6
O_XXX__O_XOX__O_XOO_OX_OOO_XO_XXX_OX_OXO_X,1
O_XXX__O_XOX__O_XOO_OX_OOO_XO_XXX_OXXOXO_X,1
O_XXX__O_XOX__O_XOO_OX_OOO_XOOXXX_OXXOXO_X,1
O_XXX__O_XOX__O_XOO_OXXOOO_XOOXXX_OXXOXO_X,1
O_XXX__O_XOX__OOXOO_OXXOOO_XOOXXX_OXXOXO_X,6
O_XXX__O_XOX_XOOXOO_OXXOOO_XOOXXX_OXXOXO_X,6
O_XXX_OO_XOX_XOOXOO_OXXOOO_XOOXXX_OXXOXO_X,5
O_XXX_OO_XOX_XOOXOO_OXXOOO_XOOXXX_OXXOXOXX,5
O_XXX_OO_XOX_XOOXOO_OXXOOO_XOOXXXOOXXOXOXX,5
O_XXX_OO_XOX_XOOXOO_OXXOOOXXOOXXXOOXXOXOXX,5
__________________________________________,3
______________________________________X___,4
______________________________________XO__,3
_______________________________X______XO__,3
________________________O______X______XO__,1
________________________O______X____X_XO__,2
________________________O______X____XOXO__,4
________________________O______XX___XOXO__,2
________________________O_____OXX___XOXO__,2
_______________________XO_____OXX___XOXO__,3
_________________O_____XO_____OXX___XOXO__,3
__________X______O_____XO_____OXX___XOXO__,4
__________X______O_____XOO____OXX___XOXO__,4
__________X______OX____XOO____OXX___XOXO__,6
__________X______OX____XOO____OXX___XOXO_O,2
__________X_____XOX____XOO____OXX___XOXO_O,2
_________OX_____XOX____XOO____OXX___XOXO_O,6
_________OX_____XOX____XOO____OXX_X_XOXO_O,6
_________OX_____XOX____XOO_O__OXX_X_XOXO_O,1
_________OX_____XOX____XOO_O_XOXX_X_XOXO_O,1
_________OX_____XOX___OXOO_O_XOXX_X_XOXO_O,0
_________OX_____XOX___OXOO_O_XOXX_XXXOXO_O,1
_________OX____OXOX___OXOO_O_XOXX_XXXOXO_O,3
___X_____OX____OXOX___OXOO_O_XOXX_XXXOXO_O,2
__OX_____OX____OXOX___OXOO_O_XOXX_XXXOXO_O,0
__OX_____OX____OXOX___OXOO_OXXOXX_XXXOXO_O,1
__OX____OOX____OXOX___OXOO_OXXOXX_XXXOXO_O,1
_XOX____OOX____OXOX___OXOO_OXXOXX_XXXOXO_O,6
_XOX____OOX____OXOX_O_OXOO_OXXOXX_XXXOXO_O,4
_XOX____OOXX___OXOX_O_OXOO_OXXOXX_XXXOXO_O,4
_XOXO___OOXX___OXOX_O_OXOO_OXXOXX_XXXOXO_O,6
_XOXO___OOXX_X_OXOX_O_OXOO_OXXOXX_XXXOXO_O,6
_XOXO_O_OOXX_X_OXOX_O_OXOO_OXXOXX_XXXOXO_O,0
_XOXO_O_OOXX_X_OXOX_OXOXOO_OXXOXX_XXXOXO_O,0
__________________________________________,3
______________________________________X___,3
_______________________________O______X___,4
_______________________________O______XX__,2
_______________________________O_____OXX__,6
_______________________________O_____OXX_X,5
_______________________________O_____OXXOX,2
______________________________XO_____OXXOX,3
________________________O_____XO_____OXXOX,3
_________________X______O_____XO_____OXXOX,2
_________________X_____OO_____XO_____OXXOX,2
________________XX_____OO_____XO_____OXXOX,5
________________XX_____OO_____XO_O___OXXOX,5
________________XX_____OO_X___XO_O___OXXOX,5
________________XX_O___OO_X___XO_O___OXXOX,6
________________XX_O___OO_X___XO_OX__OXXOX,0
________________XX_O___OO_X___XO_OXO_OXXOX,3
__________X_____XX_O___OO_X___XO_OXO_OXXOX,1
__________X_____XX_O___OO_X___XO_OXOOOXXOX,0
__________X_____XX_O___OO_X_X_XO_OXOOOXXOX,0
__________X_____XX_O_O_OO_X_X_XO_OXOOOXXOX,0
__________X___X_XX_O_O_OO_X_X_XO_OXOOOXXOX,3
___O______X___X_XX_O_O_OO_X_X_XO_OXOOOXXOX,2
___O_____XX___X_XX_O_O_OO_X_X_XO_OXOOOXXOX,0
___O___O_XX___X_XX_O_O_OO_X_X_XO_OXOOOXXOX,5
___O___O_XX_X_X_XX_O_O_OO_X_X_XO_OXOOOXXOX,2
__OO___O_XX_X_X_XX_O_O_OO_X_X_XO_OXOOOXXOX,6
__OO___O_XX_X_X_XX_O_O_OO_XXX_XO_OXOOOXXOX,6
__OO___O_XX_X_X_XX_OOO_OO_XXX_XO_OXOOOXXOX,6
__OO___O_XX_XXX_XX_OOO_OO_XXX_XO_OXOOOXXOX,6
__OO__OO_XX_XXX_XX_OOO_OO_XXX_XO_OXOOOXXOX,5
__OO_XOO_XX_XXX_XX_OOO_OO_XXX_XO_OXOOOXXOX,0
O_OO_XOO_XX_XXX_XX_OOO_OO_XXX_XO_OXOOOXXOX,1
O_OO_XOO_XX_XXX_XX_OOO_OO_XXXXXO_OXOOOXXOX,1
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,3
_______________________________X_____OX___,3
________________________O______X_____OX___,6
________________________O______X_____OX__X,5
________________________O______X_____OX_OX,5
________________________O______X_X___OX_OX,3
_________________O______O______X_X___OX_OX,3
__________X______O______O______X_X___OX_OX,2
__________X______O______O_____OX_X___OX_OX,2
__________X______O_____XO_____OX_X___OX_OX,6
__________X______O_____XO_____OX_XO__OX_OX,2
__________X_____XO_____XO_____OX_XO__OX_OX,6
__________X_____XO_____XO__O__OX_XO__OX_OX,5
__________X_____XO_____XO_XO__OX_XO__OX_OX,6
__________X_____XO__O__XO_XO__OX_XO__OX_OX,6
__________X__X__XO__O__XO_XO__OX_XO__OX_OX,5
__________X__X__XO_OO__XO_XO__OX_XO__OX_OX,2
_________XX__X__XO_OO__XO_XO__OX_XO__OX_OX,2
__O______XX__X__XO_OO__XO_XO__OX_XO__OX_OX,1
__O______XX__X__XO_OO__XO_XO__OX_XO_XOX_OX,3
__OO_____XX__X__XO_OO__XO_XO__OX_XO_XOX_OX,4
__OO_____XX__X__XO_OO__XO_XO__OX_XO_XOXXOX,4
__OO_____XX__X__XO_OO__XO_XO__OXOXO_XOXXOX,1
__OO_____XX__X__XO_OO__XO_XO_XOXOXO_XOXXOX,4
__OO_____XX__X__XO_OO__XOOXO_XOXOXO_XOXXOX,0
__OO_____XX__X__XO_OO__XOOXO_XOXOXOXXOXXOX,4
__________________________________________,2
_____________________________________X____,3
_____________________________________XO___,3
_______________________________X_____XO___,5
_______________________________X_____XO_O_,6
_______________________________X_____XO_OX,5
_______________________________X_O___XO_OX,5
__________________________X____X_O___XO_OX,3
________________________O_X____X_O___XO_OX,5
___________________X____O_X____X_O___XO_OX,2
___________________X____O_X___OX_O___XO_OX,5
____________X______X____O_X___OX_O___XO_OX,5
_____O______X______X____O_X___OX_O___XO_OX,3
_____O______X____X_X____O_X___OX_O___XO_OX,0
_____O______X____X_X____O_X___OX_O_O_XO_OX,0
_____O______X____X_X____O_X_X_OX_O_O_XO_OX,0
_____O______X____X_X_O__O_X_X_OX_O_O_XO_OX,4
_____O______X____X_X_O__O_X_X_OX_O_O_XOXOX,1
_____O______X____X_X_O__O_X_X_OX_O_OOXOXOX,4
_____O______X____X_X_O__O_X_X_OXXO_OOXOXOX,4
_____O______X____X_X_O__OOX_X_OXXO_OOXOXOX,4
_____O______X____XXX_O__OOX_X_OXXO_OOXOXOX,0
_____O______X_O__XXX_O__OOX_X_OXXO_OOXOXOX,2
_____O______X_O__XXX_O_XOOX_X_OXXO_OOXOXOX,2
_____O______X_O_OXXX_O_XOOX_X_OXXO_OOXOXOX,3
_____O____X_X_O_OXXX_O_XOOX_X_OXXO_OOXOXOX,6
_____O____X_X_O_OXXX_O_XOOX_X_OXXOOOOXOXOX,4
_____O____XXX_O_OXXX_O_XOOX_X_OXXOOOOXOXOX,1
_____O____XXX_O_OXXX_O_XOOX_XOOXXOOOOXOXOX,2
__________________________________________,3
______________________________________X___,2
_____________________________________OX___,2
______________________________X______OX___,3
______________________________XO_____OX___,3
________________________X_____XO_____OX___,4
________________________X_____XO_____OXO__,2
_______________________XX_____XO_____OXO__,3
_________________O_____XX_____XO_____OXO__,2
________________XO_____XX_____XO_____OXO__,2
_________O______XO_____XX_____XO_____OXO__,4
_________O______XO_____XX_____XOX____OXO__,5
_________O______XO_____XX_____XOX____OXOO_,4
_________O______XO_____XXX____XOX____OXOO_,4
_________O______XOO____XXX____XOX____OXOO_,3
_________OX_____XOO____XXX____XOX____OXOO_,3
___O_____OX_____XOO____XXX____XOX____OXOO_,1
___O_____OX_____XOO____XXX____XOX___XOXOO_,0
___O_____OX_____XOO____XXX____XOX__OXOXOO_,5
___O_____OX_____XOO____XXX____XOXX_OXOXOO_,5
___O_____OX_____XOO____XXXO___XOXX_OXOXOO_,5
___O_____OX_____XOOX___XXXO___XOXX_OXOXOO_,2
__OO_____OX_____XOOX___XXXO___XOXX_OXOXOO_,6
__OO_____OX_____XOOX___XXXO___XOXX_OXOXOOX,6
__OO_____OX_____XOOX___XXXO___XOXXOOXOXOOX,6
__OO_____OX_____XOOX___XXXOX__XOXXOOXOXOOX,6
__OO_____OX_____XOOXO__XXXOX__XOXXOOXOXOOX,6
__OO_____OX__X__XOOXO__XXXOX__XOXXOOXOXOOX,5
__OO_____OX_OX__XOOXO__XXXOX__XOXXOOXOXOOX,5
__OO_X___OX_OX__XOOXO__XXXOX__XOXXOOXOXOOX,4
__OO_X___OXOOX__XOOXO__XXXOX__XOXXOOXOXOOX,6
__OO_XX__OXOOX__XOOXO__XXXOX__XOXXOOXOXOOX,0
__OO_XX__OXOOX__XOOXO__XXXOXO_XOXXOOXOXOOX,4
__OOXXX__OXOOX__XOOXO__XXXOXO_XOXXOOXOXOOX,1
__OOXXX__OXOOX__XOOXO__XXXOXOOXOXXOOXOXOOX,1
__________________________________________,3
______________________________________X___,4
______________________________________XO__,4
________________________________X_____XO__,3
_______________________________OX_____XO__,4
_________________________X_____OX_____XO__,3
________________________OX_____OX_____XO__,4
__________________X_____OX_____OX_____XO__,4
___________O______X_____OX_____OX_____XO__,3
___________O_____XX_____OX_____OX_____XO__,0
___________O_____XX_____OX_____OX__O__XO__,6
___________O_____XX_____OX_____OX__O__XO_X,0
___________O_____XX_____OX__O__OX__O__XO_X,0
___________O_____XX__X__OX__O__OX__O__XO_X,1
___________O_____XX__X__OX__O__OX__OO_XO_X,0
___________O__X__XX__X__OX__O__OX__OO_XO_X,1
___________O__X__XX__X__OX__OO_OX__OO_XO_X,0
_______X___O__X__XX__X__OX__OO_OX__OO_XO_X,0
O______X___O__X__XX__X__OX__OO_OX__OO_XO_X,1
O______X___O__X__XX__XX_OX__OO_OX__OO_XO_X,6
O______X___O__X__XX__XX_OX__OO_OX_OOO_XO_X,1
O______X___O__XX_XX__XX_OX__OO_OX_OOO_XO_X,1
O______XO__O__XX_XX__XX_OX__OO_OX_OOO_XO_X,6
O______XO__O__XX_XX__XX_OX_XOO_OX_OOO_XO_X,6
O______XO__O__XX_XX_OXX_OX_XOO_OX_OOO_XO_X,1
OX_____XO__O__XX_XX_OXX_OX_XOO_OX_OOO_XO_X,6
OX_____XO__O_OXX_XX_OXX_OX_XOO_OX_OOO_XO_X,3
OX_____XO_XO_OXX_XX_OXX_OX_XOO_OX_OOO_XO_X,4
OX__O__XO_XO_OXX_XX_OXX_OX_XOO_OX_OOO_XO_X,5
OX__O__XO_XO_OXX_XX_OXX_OX_XOO_OX_OOO_XOXX,5
OX__O__XO_XO_OXX_XX_OXX_OX_XOO_OXOOOO_XOXX,5
OX__O__XO_XO_OXX_XX_OXX_OXXXOO_OXOOOO_XOXX,3
OX_OO__XO_XO_OXX_XX_OXX_OXXXOO_OXOOOO_XOXX,5
